Table Name,Column Name,Data Type,Key Type,References Table,Nullable?,Description / Business Rules
User,id,String (CUID),PK,,No,Unique Identifier for the user login
User,email,String,Unique,,No,The user's login email address
User,password,String,,,No,Bcrypt hashed password
User,name,String,,,No,Full display name (e.g. Dr. Jane Doe)
User,medical_license_id,String,,,Yes,"Optional. Used for verifying doctors, not needed for pure Admins"
User,avatar_url,String,,,Yes,URL to profile picture
User,created_at,DateTime,,,No,Timestamp of account creation
,,,,,,
Workspace,id,String (CUID),PK,,No,Unique Identifier for the Hospital/Clinic
Workspace,name,String,,,No,Display name (e.g. City General Hospital)
Workspace,slug,String,Unique,,No,URL friendly ID (e.g. city-general)
Workspace,owner_id,String,FK,User,No,The Super Admin who owns this workspace
Workspace,created_at,DateTime,,,No,Timestamp of workspace creation
,,,,,,
WorkspaceMember,id,String (CUID),PK,,No,Unique ID for this membership record
WorkspaceMember,user_id,String,FK,User,No,The User being assigned access
WorkspaceMember,workspace_id,String,FK,Workspace,No,The Hospital they are accessing
WorkspaceMember,role,String,,,No,"Values: ""OWNER"", ""ADMIN"", ""DOCTOR"""
WorkspaceMember,joined_at,DateTime,,,No,When they were added to the team
,,,,,,
Patient,id,String (CUID),PK,,No,Unique Patient ID
Patient,workspace_id,String,FK,Workspace,No,CRITICAL: Isolates data to one hospital only
Patient,first_name,String,,,No,
Patient,last_name,String,,,No,
Patient,dob,DateTime,,,No,Date of Birth
Patient,gender,String,,,No,"Values: ""Male"", ""Female"", ""Other"""
Patient,mrn,String,,,Yes,Medical Record Number (Internal Hospital ID)
Patient,created_at,DateTime,,,No,
,,,,,,
Case,id,String (CUID),PK,,No,Unique Case/Scan ID
Case,patient_id,String,FK,Patient,No,Which patient this scan belongs to
Case,assigned_to_id,String,FK,WorkspaceMember,Yes,The Doctor responsible (Must be in same workspace)
Case,status,String,,,No,"Values: ""PENDING"", ""PROCESSING"", ""REVIEWED"""
Case,scan_url,String,,,No,S3 URL to the raw MRI file
Case,mask_url,String,,,Yes,S3 URL to the AI segmentation result
Case,priority,String,,,No,"Values: ""NORMAL"", ""URGENT"""
Case,notes,Text,,,Yes,Clinical notes or AI findings
Case,created_at,DateTime,,,No,
,,,,,,
Invitation,id,String (CUID),PK,,No,Pending invites for users not yet registered
Invitation,email,String,,,No,The email being invited
Invitation,workspace_id,String,FK,Workspace,No,Which workspace they are invited to
Invitation,role,String,,,No,The role they will receive upon accepting
Invitation,token,String,Unique,,No,Secure random string for the email link
Invitation,expires_at,DateTime,,,No,Link validity duration